	'WHILE'	'TYPE'	'REAL'	'IF'	'DIVIDE'	'PROGRAM'	'stmt'	'ARRAY'	'LESS_EQ'	'assign'	'VAR'	'END'	'DOT'	'RIGHT_PAREN'	'EQ'	'STRING'	'FLOAT'	'io'	'MINUS'	'decl'	'INT'	'OF'	'NOT'	'COLON'	'rel_op'	'ident_list'	'stmt_list'	'RIGHT_BRACKET'	'MOD'	'GREATER'	'INTEGER'	'SEMICOLON'	'PRINT'	'GREATER_EQ'	'COMMA'	'if_stmt'	'TRUE'	'program'	'LEFT_PAREN'	'cond'	'DIV'	'LOOP'	'factor'	'PLUS'	'IDENTIFIER'	'term'	'NOT_EQ'	'BEGIN'	'LESS'	'FALSE'	'decl_list'	'LEFT_BRACKET'	'ELSE'	'while_stmt'	'ASSIGN'	'THEN'	'expr'	'block'	'type'	'MULTIPLICATION'	'var_decl'	
'SEMICOLON122'	'R12'	'R12'		'R12'			'R12'			'R12'		'R12'						'R12'		'R12'						'R12'	'R12'						'R12'			'R12'									'R12'			'R12'					'R12'	'R12'				'R12'				
'SEMICOLON132'	'R13'	'R13'		'R13'			'R13'			'R13'		'R13'						'R13'		'R13'						'R13'	'R13'						'R13'			'R13'									'R13'			'R13'					'R13'	'R13'				'R13'				
'SEMICOLON162'	'R16'	'R16'		'R16'			'R16'			'R16'		'R16'						'R16'		'R16'						'R16'	'R16'						'R16'			'R16'									'R16'			'R16'					'R16'	'R16'				'R16'				
'COLON182'			'REAL211'					'ARRAY221'													'INT201'																																						'type183'			
'IDENTIFIER192'															'EQ193'																																															
'ASSIGN252'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term341', 'term351', 'term361', 'term371', 'term381'				'FALSE481'							'expr253', 'expr321', 'expr331'					
'LEFT_BRACKET262'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term341', 'term351', 'term361', 'term371', 'term381'				'FALSE481'							'expr263', 'expr321', 'expr331'					
'COMMA242'																										'ident_list243'																			'IDENTIFIER231', 'IDENTIFIER241'																	
'cond272', 'cond282'																																																								'THEN273', 'THEN283'						
'expr321', 'expr331', 'expr491'									'LESS_EQ541'						'EQ501'				'MINUS332'						'rel_op492'					'GREATER531'				'GREATER_EQ551'										'PLUS322'			'NOT_EQ511'		'LESS521'													
'term341', 'term351', 'term361', 'term371', 'term381'					'DIVIDE362'				'R34'					'R34'	'R34'				'R34'						'R34'			'R34'	'MOD382'	'R34'		'R34'		'R34'							'DIV372'	'R34'		'R34'			'R34'		'R34'							'R34'				'MULTIPLICATION352'		
'factor391'					'R39'				'R39'					'R39'	'R39'				'R39'						'R39'			'R39'	'R39'	'R39'		'R39'		'R39'							'R39'	'R39'		'R39'			'R39'		'R39'							'R39'				'R39'		
'MINUS401'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor402'		'IDENTIFIER431', 'IDENTIFIER441'					'FALSE481'												
'NOT411'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor412'		'IDENTIFIER431', 'IDENTIFIER441'					'FALSE481'												
'LEFT_PAREN421'																	'FLOAT461'		'MINUS401'				'NOT411'								'INTEGER451'						'TRUE471'		'LEFT_PAREN421'				'factor391'		'IDENTIFIER431', 'IDENTIFIER441'	'term341', 'term351', 'term361', 'term371', 'term381'				'FALSE481'							'expr422', 'expr321', 'expr331'					
'IDENTIFIER431', 'IDENTIFIER441'					'R43'				'R43'					'R43'	'R43'				'R43'						'R43'			'R43'	'R43'	'R43'		'R43'		'R43'							'R43'	'R43'		'R43'			'R43'		'R43'			'LEFT_BRACKET442'				'R43'				'R43'		
'INTEGER451'					'R45'				'R45'					'R45'	'R45'				'R45'						'R45'			'R45'	'R45'	'R45'		'R45'		'R45'							'R45'	'R45'		'R45'			'R45'		'R45'							'R45'				'R45'		
'FLOAT461'					'R46'				'R46'					'R46'	'R46'				'R46'						'R46'			'R46'	'R46'	'R46'		'R46'		'R46'							'R46'	'R46'		'R46'			'R46'		'R46'							'R46'				'R46'		
'TRUE471'					'R47'				'R47'					'R47'	'R47'				'R47'						'R47'			'R47'	'R47'	'R47'		'R47'		'R47'							'R47'	'R47'		'R47'			'R47'		'R47'							'R47'				'R47'		
'FALSE481'					'R48'				'R48'					'R48'	'R48'				'R48'						'R48'			'R48'	'R48'	'R48'		'R48'		'R48'							'R48'	'R48'		'R48'			'R48'		'R48'							'R48'				'R48'		
'cond292'																																										'LOOP293'																				
'expr302', 'expr321', 'expr331'																			'MINUS332'													'R30'												'PLUS322'																		
'STRING312'																																'R31'																														
'END26'													'DOT27'																																																	
'SEMICOLON52', 'SEMICOLON62'		'TYPE191'																		'decl51', 'decl61'						'ident_list181'																			'IDENTIFIER231', 'IDENTIFIER241'			'R6'			'decl_list53'							'R6'				
'type183'																																'R18'																														
'INT201'																																'R20'																														
'REAL211'																																'R21'																														
'ARRAY221'																																																				'LEFT_BRACKET222'										
'EQ193'			'REAL211'					'ARRAY221'													'INT201'																																						'type194'			
'expr253', 'expr321', 'expr331'																			'MINUS332'													'R25'												'PLUS322'																		
'expr263', 'expr321', 'expr331'																			'MINUS332'									'RIGHT_BRACKET264'																'PLUS322'																		
'ident_list243'																								'R24'																																						
'THEN273', 'THEN283'	'WHILE291'	'TYPE191'		'IF271', 'IF281'			'stmt274', 'stmt284'			'assign131'								'io161'		'decl121'						'ident_list181'							'PRINT301', 'PRINT311'			'if_stmt141'									'IDENTIFIER231', 'IDENTIFIER241', 'IDENTIFIER251', 'IDENTIFIER261'			'BEGIN71', 'BEGIN81', 'BEGIN91'						'while_stmt151'				'block171'				
