;'BEGIN';'decl_list';'PROGRAM';'COLON';'LEFT_PAREN';'REAL';'NOT';'var_decl';'WHILE';'factor';'SEMICOLON';'assign';'type';'expr';'block_without_if';'DIVIDE';'CHAR';'DOT';'DIV';'VAR';'PRINT';'stmt_list';'IDENTIFIER';'MULTIPLICATION';'GREATER_EQ';'LEFT_BRACKET';'block';'full_id';'ARRAY';'IF';'RIGHT_BRACKET';'cond';'EQ';'term';'MOD';'ELSE';'INTEGER';'STRING';'FALSE';'THEN';'io';'program';'NOT_EQ';'GREATER';'while_stmt';'ident_list';'FLOAT';'RIGHT_PAREN';'TYPE';'END';'out';'COMMA';'rel_op';'stmt';'OF';'PLUS';'MINUS';'TRUE';'stmt_without_if';'LESS';'decl';'INT';'if_stmt';'READ';'LESS_EQ';'ASSIGN'
'program';;;'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OK';;;;;;;;;;;;;;;;;;;;;;;;
'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'term333','term351','term361','term371','term381';'R33';;;;;;;;'R33';;'R33';'R33';;;;'DIVIDE362';;;'DIV372';;'R33';;'R33';'MULTIPLICATION352';'R33';;'R33';'R33';;'R33';'R33';;'R33';;'MOD382';;;;;'R33';'R33';;'R33';'R33';'R33';;;'R33';;;'R33';;'R33';'R33';;'R33';'R33';;;'R33';;;'R33';'R33';'R33';
'expr483','expr321','expr331';'R48';;;;;;;;'R48';;'R48';'R48';;;;;;;;;'R48';;'R48';;;;'R48';'R48';;'R48';;;;;;;;;;'R48';'R48';;;;'R48';;;;;;'R48';;;'R48';;'PLUS322';'MINUS332';;;;;;'R48';'R48';;
'factor353';'R35';;;;;;;;'R35';;'R35';'R35';;;;'R35';;;'R35';;'R35';;'R35';'R35';'R35';;'R35';'R35';;'R35';'R35';;'R35';;'R35';;;;;'R35';'R35';;'R35';'R35';'R35';;;'R35';;;'R35';;'R35';'R35';;'R35';'R35';;;'R35';;;'R35';'R35';'R35';
'factor363';'R36';;;;;;;;'R36';;'R36';'R36';;;;'R36';;;'R36';;'R36';;'R36';'R36';'R36';;'R36';'R36';;'R36';'R36';;'R36';;'R36';;;;;'R36';'R36';;'R36';'R36';'R36';;;'R36';;;'R36';;'R36';'R36';;'R36';'R36';;;'R36';;;'R36';'R36';'R36';
'factor373';'R37';;;;;;;;'R37';;'R37';'R37';;;;'R37';;;'R37';;'R37';;'R37';'R37';'R37';;'R37';'R37';;'R37';'R37';;'R37';;'R37';;;;;'R37';'R37';;'R37';'R37';'R37';;;'R37';;;'R37';;'R37';'R37';;'R37';'R37';;;'R37';;;'R37';'R37';'R37';
'factor383';'R38';;;;;;;;'R38';;'R38';'R38';;;;'R38';;;'R38';;'R38';;'R38';'R38';'R38';;'R38';'R38';;'R38';'R38';;'R38';;'R38';;;;;'R38';'R38';;'R38';'R38';'R38';;;'R38';;;'R38';;'R38';'R38';;'R38';'R38';;;'R38';;;'R38';'R38';'R38';
'RIGHT_PAREN433';'R43';;;;;;;;'R43';;'R43';'R43';;;;'R43';;;'R43';;'R43';;'R43';'R43';'R43';;'R43';'R43';;'R43';'R43';;'R43';;'R43';;;;;'R43';'R43';;'R43';'R43';'R43';;;'R43';;;'R43';;'R43';'R43';;'R43';'R43';;;'R43';;;'R43';'R43';'R43';
'RIGHT_BRACKET574';'R57';;;;;;;;'R57';;'R57';'R57';;;;'R57';;;'R57';;'R57';;'R57';'R57';'R57';;'R57';'R57';;'R57';'R57';;'R57';;'R57';;;;;'R57';'R57';;'R57';'R57';'R57';;;'R57';;;'R57';;'R57';'R57';;'R57';'R57';;;'R57';;;'R57';'R57';'R57';'R57'
'LEFT_BRACKET222';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'INTEGER223';;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'type184';;;;;;;;;;;'R18';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'ELSE265';'BEGIN71';;;;;;;;'WHILE281';;'SEMICOLON161';'assign101';;;;;;;;;'PRINT291','PRINT301';;'IDENTIFIER561','IDENTIFIER571';;;;'block151';'full_id251';;'IF261','IF271';;;;;;;;;;;'io131';;;;'while_stmt121';;;;;;'out141';;;'stmt266';;;;;;;;;'if_stmt111';'READ311';;
'INTEGER223';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'RIGHT_BRACKET224';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'stmt266';'R26';;;;;;;;'R26';;'R26';'R26';;;;;;;;;'R26';'R26';'R26';;;;'R26';'R26';;'R26';;;;;;'R26';;;;;'R26';;;;'R26';;;;;'R26';'R26';;;'R26';;;;;;;;;'R26';'R26';;
'RIGHT_BRACKET224';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OF225';;;;;;;;;;;
'OF225';;;;;;'REAL201';;;;;;;'type226';;;;'CHAR211';;;;;;;;;;;;'ARRAY221';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'INT191';;;;
'type226';;;;;;;;;;;'R22';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
