;'BEGIN';'decl_list';'PROGRAM';'COLON';'LEFT_PAREN';'REAL';'NOT';'var_decl';'WHILE';'factor';'SEMICOLON';'assign';'type';'expr';'block_without_if';'DIVIDE';'CHAR';'DOT';'DIV';'VAR';'PRINT';'stmt_list';'IDENTIFIER';'MULTIPLICATION';'GREATER_EQ';'LEFT_BRACKET';'block';'full_id';'ARRAY';'IF';'RIGHT_BRACKET';'cond';'EQ';'term';'MOD';'ELSE';'INTEGER';'STRING';'FALSE';'THEN';'io';'program';'NOT_EQ';'GREATER';'while_stmt';'ident_list';'FLOAT';'RIGHT_PAREN';'TYPE';'END';'out';'COMMA';'rel_op';'stmt';'OF';'PLUS';'MINUS';'TRUE';'stmt_without_if';'LESS';'decl';'INT';'if_stmt';'READ';'LESS_EQ';'ASSIGN'
'program';;;'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OK';;;;;;;;;;;;;;;;;;;;;;;;
'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'PRINT291','PRINT301';;;;;'LEFT_PAREN431';;'NOT421';;;'factor391';;;;'expr292','expr321','expr331';;;;;;;;;'IDENTIFIER561','IDENTIFIER571';;;;;'full_id401';;;;;;'term341','term351','term361','term371','term381';;;'INTEGER441';'STRING302';'FALSE471';;;;;;;;'FLOAT451';;;;;;;;;;'MINUS411';'TRUE461';;;;;;;;
'READ311';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER312';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'IDENTIFIER561','IDENTIFIER571';'R56';;;;;;;;'R56';;'R56';'R56';;;;'R56';;;'R56';;'R56';;'R56';'R56';'R56';'LEFT_BRACKET572';'R56';'R56';;'R56';'R56';;'R56';;'R56';;;;;'R56';'R56';;'R56';'R56';'R56';;;'R56';;;'R56';;'R56';'R56';;'R56';'R56';;;'R56';;;'R56';'R56';'R56';'R56'
'block25';;;;;;;;;;;;;;;;;;'DOT26';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'decl_list42';'R4';;;;;;;;;;;;;;;;;;;;;;;;;;'R4';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'decl51','decl61';;;;;;;;;;;'SEMICOLON52','SEMICOLON62';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'ident_list171';;;;'COLON172';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'TYPE181';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER182';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'IDENTIFIER231','IDENTIFIER241';;;;'R23';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'COMMA242';;;;;;;;;;;;;;
'stmt_list92';'R9';;;;;;;;'R9';;'R9';'R9';;;;;;'R9';;;'R9';'R9';'R9';;;;'R9';'R9';;'R9';;;;;;'R9';;;;;'R9';;;;'R9';;;;;'R9';'R9';;;'R9';;;;;;;;;'R9';'R9';;
